constraint 	-> 4 
cited 	-> 4 
room 	-> 1 3 4 5 
limping 	-> 1 3 5 
pi 	-> 4 
expensive 	-> 1 3 4 5 
federation 	-> 4 
internship 	-> 4 
ablaze 	-> 1 3 5 
bailer 	-> 2 3 
beam 	-> 1 3 4 5 
burner 	-> 4 
exciting 	-> 1 3 4 5 
lovelorn 	-> 2 3 
creature 	-> 1 3 4 5 
provincial 	-> 4 
africa 	-> 4 
tasks 	-> 4 
birth 	-> 1 3 4 5 
william 	-> 4 
major 	-> 4 
ski 	-> 1 3 4 5 
impartial 	-> 1 3 5 
preceding 	-> 4 
distances 	-> 4 
stare 	-> 1 3 5 
rigid 	-> 1 3 5 
guatemala 	-> 4 
concern 	-> 1 3 4 5 
prerequisite 	-> 4 
wood 	-> 1 3 4 5 
texts 	-> 4 
bomb 	-> 1 3 4 5 
personalized 	-> 4 
diploma 	-> 4 
dispatch 	-> 4 
cow 	-> 1 3 4 5 
weetless 	-> 2 3 
hobbies 	-> 1 3 4 5 
trite 	-> 1 3 5 
strike 	-> 4 
dress 	-> 1 3 4 5 
pupils 	-> 4 
promoted 	-> 4 
noncarnivorous 	-> 2 3 
preach 	-> 1 3 5 
amendment 	-> 4 
bashful 	-> 1 3 5 
ajar 	-> 1 3 5 
sony 	-> 4 
educate 	-> 1 3 5 
pizzas 	-> 1 3 5 
grand 	-> 4 
chad 	-> 4 
aggressive 	-> 1 3 4 5 
club 	-> 1 3 4 5 
committed 	-> 4 
transition 	-> 4 
nut 	-> 1 3 4 5 
became 	-> 4 
carpet 	-> 4 
elect 	-> 4 
fallacious 	-> 1 3 5 
money 	-> 1 3 4 5 
households 	-> 4 
organizations 	-> 4 
aside 	-> 4 
sparkle 	-> 1 3 5 
instruct 	-> 1 3 5 
illegal 	-> 1 3 4 5 
washer 	-> 4 
women 	-> 1 3 4 5 
lp 	-> 4 
crown 	-> 1 3 4 5 
Balkar 	-> 2 3 
typhic 	-> 2 3 
flap 	-> 1 3 5 
highest 	-> 4 
achiever 	-> 1 3 5 
adaptor 	-> 4 
peep 	-> 1 3 5 
teaching 	-> 1 3 4 5 
movement 	-> 4 
coated 	-> 4 
thumbnail 	-> 4 
bright 	-> 1 3 4 5 
runtime 	-> 4 
jobless 	-> 1 3 5 
glib 	-> 1 3 5 
damage 	-> 1 3 4 5 
widely 	-> 4 
mechanical 	-> 4 
voice 	-> 1 3 4 5 
spelling 	-> 4 
zygozoospore 	-> 2 3 
drain 	-> 1 3 4 5 
tom 	-> 4 
chubby 	-> 1 3 4 5 
spoken 	-> 4 
nice 	-> 1 3 4 5 
restricted 	-> 4 
yrs 	-> 4 
belgium 	-> 4 
priced 	-> 4 
depth 	-> 4 
afterthought 	-> 1 3 5 
sleeping 	-> 4 
hop 	-> 1 3 4 5 
insidious 	-> 1 3 5 
pest 	-> 1 3 4 5 
headed 	-> 4 
marble 	-> 1 3 4 5 
vegetarian 	-> 4 
genesis 	-> 4 
route 	-> 1 3 4 5 
signup 	-> 4 
territories 	-> 4 
addicted 	-> 1 3 5 
wizard 	-> 4 
breeds 	-> 4 
aerospace 	-> 4 
signed 	-> 4 
behind 	-> 4 
vase 	-> 1 3 5 
salt 	-> 1 3 4 5 
worcester 	-> 4 
freight 	-> 4 
willing 	-> 1 3 4 5 
veil 	-> 1 3 5 
volvo 	-> 4 
fowl 	-> 1 3 5 
times 	-> 4 
depression 	-> 4 
foamy 	-> 1 3 5 
harmonious 	-> 1 3 5 
issued 	-> 4 
climate 	-> 4 
giant 	-> 1 3 4 5 
motion 	-> 1 3 4 5 
same 	-> 1 3 4 5 
dsc 	-> 4 
event 	-> 1 3 4 5 
naughty 	-> 1 3 4 5 
schools 	-> 4 
womanly 	-> 1 3 5 
carlos 	-> 4 
swift 	-> 1 3 4 5 
tech 	-> 2 3 4 
perisphere 	-> 2 3 
elements 	-> 4 
boat 	-> 1 3 4 5 
hull 	-> 4 
next 	-> 1 3 4 5 
solely 	-> 4 
provided 	-> 4 
wax 	-> 1 3 4 5 
touch 	-> 1 3 4 5 
can 	-> 1 3 4 5 
hammer 	-> 1 3 4 5 
dilatingly 	-> 2 3 
walter 	-> 4 
translate 	-> 4 
speaking 	-> 4 
championships 	-> 4 
deafening 	-> 1 3 5 
plough 	-> 1 3 5 
typical 	-> 1 3 4 5 
kilocycle 	-> 2 3 
nonmythical 	-> 2 3 
guidelines 	-> 4 
equal 	-> 1 3 4 5 
printer 	-> 4 
drop 	-> 1 3 4 5 
eds 	-> 4 
decision 	-> 1 3 4 5 
houston 	-> 4 
somewhere 	-> 4 
karma 	-> 4 
deforciant 	-> 2 3 
malicious 	-> 1 3 5 
billowy 	-> 1 3 5 
waggish 	-> 1 3 5 
gdp 	-> 4 
except 	-> 4 
announce 	-> 1 3 4 5 
np 	-> 4 
purchased 	-> 4 
toward 	-> 4 
tag 	-> 4 
temporarily 	-> 4 
finger 	-> 1 3 4 5 
selection 	-> 1 3 4 5 
fluttering 	-> 1 3 5 
zdnet 	-> 4 
spell 	-> 1 3 4 5 
tedious 	-> 1 3 5 
glycogelatin 	-> 2 3 
peel 	-> 1 3 5 
vacuous 	-> 1 3 5 
ethnize 	-> 2 3 
fraud 	-> 4 
hospitable 	-> 1 3 5 
position 	-> 1 3 4 5 
rescue 	-> 1 3 4 5 
frighten 	-> 1 3 5 
staff 	-> 4 
wu 	-> 4 
thorough 	-> 4 
fantastic 	-> 1 3 4 5 
reports 	-> 4 
melt 	-> 1 3 5 
essex 	-> 4 
wins 	-> 4 
bufonite 	-> 2 3 
rumorproof 	-> 2 3 
functions 	-> 4 
susan 	-> 4 
fruit 	-> 1 3 4 5 
isaac 	-> 4 
comfortable 	-> 1 3 4 5 
errors 	-> 4 
stiff 	-> 1 3 5 
warming 	-> 4 
tip 	-> 1 3 4 5 
wasteful 	-> 1 3 5 
classifieds 	-> 4 
sharon 	-> 4 
profit 	-> 1 3 4 5 
chance 	-> 1 3 4 5 
reliable 	-> 4 
capitol 	-> 4 
concerning 	-> 4 
combative 	-> 1 3 5 
processed 	-> 4 
snails 	-> 1 3 5 
quilt 	-> 1 3 4 5 
take 	-> 4 
adjustments 	-> 4 
pixel 	-> 4 
proceeding 	-> 4 
obtainable 	-> 1 3 5 
naturally 	-> 4 
twin 	-> 4 
lawrence 	-> 4 
sweatband 	-> 2 3 
staking 	-> 1 3 5 
fan 	-> 4 
cuboidal 	-> 2 3 
worse 	-> 4 
secret 	-> 1 3 4 5 
resulting 	-> 4 
independent 	-> 4 
hypnotic 	-> 1 3 5 
ol 	-> 4 
brisbane 	-> 4 
corp 	-> 4 
lock 	-> 1 3 4 5 
electric 	-> 1 3 4 5 
passive 	-> 4 
samba 	-> 4 
ups 	-> 4 
shipments 	-> 4 
dts 	-> 4 
harbour 	-> 4 
dirt 	-> 1 3 4 5 
mins 	-> 4 
squash 	-> 1 3 5 
nodes 	-> 4 
transversomedial 	-> 2 3 
want 	-> 1 3 4 5 
cherries 	-> 1 3 5 
grade 	-> 1 3 4 5 
homepage 	-> 4 
sic 	-> 4 
seed 	-> 1 3 4 5 
depend 	-> 1 3 4 5 
belkin 	-> 4 
rankings 	-> 4 
episode 	-> 4 
unhealthy 	-> 1 3 5 
guns 	-> 4 
af 	-> 4 
groovy 	-> 1 3 5 
answer 	-> 1 3 4 5 
acer 	-> 4 
irritate 	-> 1 3 5 
lyrical 	-> 1 3 5 
creating 	-> 4 
singapore 	-> 4 
aware 	-> 1 3 4 5 
receipt 	-> 1 3 4 5 
undesirable 	-> 1 3 5 
my 	-> 4 
commitment 	-> 4 
muscles 	-> 4 
earsplitting 	-> 1 3 5 
meethelp 	-> 2 3 
policies 	-> 4 
requested 	-> 4 
tgp 	-> 4 
notebooks 	-> 4 
heat 	-> 1 3 4 5 
config 	-> 4 
different 	-> 1 3 4 5 
round 	-> 1 3 4 5 
alive 	-> 1 3 4 5 
lace 	-> 1 3 4 5 
rp 	-> 4 
semiconductor 	-> 4 
wish 	-> 1 3 4 5 
upbeat 	-> 1 3 5 
seat 	-> 1 3 4 5 
plumbing 	-> 4 
tangy 	-> 1 3 5 
relatively 	-> 4 
millions 	-> 4 
theoretical 	-> 4 
uncle 	-> 1 3 4 5 
buses 	-> 4 
proposed 	-> 4 
crook 	-> 1 3 5 
tract 	-> 4 
noise 	-> 1 3 4 5 
granted 	-> 4 
surgeon 	-> 4 
flippant 	-> 1 3 5 
gained 	-> 4 
reveal 	-> 4 
interactive 	-> 4 
sleepy 	-> 1 3 5 
discover 	-> 1 3 4 5 
unbiased 	-> 1 3 5 
surgeons 	-> 4 
supply 	-> 1 3 4 5 
charm 	-> 4 
material 	-> 1 3 4 5 
reservations 	-> 4 
rerun 	-> 2 3 
impulse 	-> 1 3 5 
bizarre 	-> 1 3 4 5 
spotted 	-> 1 3 5 
stanley 	-> 4 
prewound 	-> 2 3 
shaw 	-> 4 
riverside 	-> 4 
mart 	-> 4 
typing 	-> 4 
zephyr 	-> 1 3 5 
cows 	-> 1 3 5 
enchanting 	-> 1 3 5 
reductions 	-> 4 
moreover 	-> 4 
goave 	-> 2 3 
view 	-> 1 3 4 5 
carolina 	-> 4 
sizes 	-> 4 
emphasis 	-> 4 
reblow 	-> 2 3 
fumbling 	-> 1 3 5 
consoles 	-> 4 
narrow 	-> 1 3 4 5 
murder 	-> 1 3 4 5 
abortive 	-> 1 3 5 
richmond 	-> 4 
asthma 	-> 4 
rendered 	-> 4 
senate 	-> 4 
senator 	-> 4 
verdant 	-> 1 3 5 
hollow 	-> 1 3 4 5 
fisting 	-> 4 
closed 	-> 1 3 4 5 
zus 	-> 4 
tea 	-> 4 
propecia 	-> 4 
charger 	-> 4 
adorable 	-> 1 3 5 
volleyball 	-> 1 3 4 5 
beneath 	-> 4 
deeply 	-> 1 3 4 5 
magic 	-> 1 3 4 5 
headline 	-> 4 
instinctive 	-> 1 3 5 
line 	-> 1 3 4 5 
connection 	-> 1 3 4 5 
jumbled 	-> 1 3 5 
nude 	-> 4 
nervous 	-> 1 3 4 5 
tuition 	-> 4 
transcription 	-> 4 
lib 	-> 4 
complacent 	-> 2 3 
spring 	-> 1 3 4 5 
argue 	-> 1 3 4 5 
sagem 	-> 4 
unchapter 	-> 2 3 
hopes 	-> 4 
dk 	-> 4 
strap 	-> 1 3 4 5 
uninterested 	-> 1 3 5 
earth 	-> 1 3 4 5 
reprint 	-> 4 
script 	-> 4 
imported 	-> 1 3 4 5 
stomach 	-> 1 3 4 5 
jc 	-> 4 
loincloth 	-> 2 3 
cave 	-> 1 3 4 5 
transactions 	-> 4 
unlikely 	-> 4 
lionet 	-> 2 3 
dicatalexis 	-> 2 3 
legislative 	-> 4 
clumsy 	-> 1 3 5 
handsome 	-> 1 3 5 
goto 	-> 4 
seashore 	-> 1 3 5 
wordpress 	-> 4 
onto 	-> 4 
trap 	-> 1 3 4 5 
commissions 	-> 4 
juice 	-> 1 3 4 5 
obtect 	-> 2 3 
slovak 	-> 4 
gastrohelcosis 	-> 2 3 
apart 	-> 4 
silk 	-> 1 2 3 4 5 
consistent 	-> 4 
companies 	-> 4 
dapper 	-> 1 3 5 
brawny 	-> 1 3 5 
limits 	-> 4 
zope 	-> 4 
secretive 	-> 1 3 5 
clicks 	-> 4 
tutorials 	-> 4 
wary 	-> 1 3 5 
zinc 	-> 1 3 4 5 
cakes 	-> 1 3 4 5 
belize 	-> 4 
vague 	-> 1 3 5 
castigate 	-> 2 3 
volumescope 	-> 2 3 
soonest 	-> 4 
complex 	-> 1 3 4 5 
manufacture 	-> 4 
observation 	-> 1 3 4 5 
plaintiff 	-> 4 
men 	-> 1 3 4 5 
warranty 	-> 4 
magenta 	-> 1 3 5 
shave 	-> 1 3 5 
middlings 	-> 2 3 
clearance 	-> 4 
scare 	-> 1 3 5 
brutal 	-> 4 
exhibits 	-> 4 
plants 	-> 1 3 4 5 
rehabilitation 	-> 4 
tiffany 	-> 4 
island 	-> 1 3 4 5 
visit 	-> 1 3 4 5 
annual 	-> 4 
tap 	-> 1 3 4 5 
steel 	-> 1 3 4 5 
gate 	-> 1 3 4 5 
footwear 	-> 4 
surveys 	-> 4 
waiting 	-> 1 3 4 5 
pmid 	-> 4 
imperence 	-> 2 3 
hat 	-> 1 3 4 5 
haunt 	-> 1 3 5 
introduced 	-> 4 
rhyme 	-> 1 3 5 
Kaibartha 	-> 2 3 
stormy 	-> 1 3 5 
philips 	-> 4 
snail 	-> 1 3 5 
godly 	-> 1 3 5 
murky 	-> 1 3 5 
jewel 	-> 1 3 4 5 
edge 	-> 1 3 4 5 
sam 	-> 4 
pump 	-> 1 3 4 5 
jackets 	-> 4 
continuous 	-> 4 
abstract 	-> 4 
acidic 	-> 1 3 5 
sin 	-> 1 3 4 5 
creator 	-> 1 3 4 5 
salem 	-> 4 
cheapest 	-> 4 
tangible 	-> 1 3 5 
bikes 	-> 1 3 4 5 
avoid 	-> 1 3 4 5 
dogwatch 	-> 2 3 
tick 	-> 1 3 5 
deck 	-> 4 
philip 	-> 4 
accessories 	-> 4 
methought 	-> 2 3 
eaglewood 	-> 2 3 
detector 	-> 4 
wauken 	-> 2 3 
suit 	-> 1 3 4 5 
pan 	-> 1 3 4 5 
harass 	-> 1 3 5 
draconian 	-> 1 3 5 
euro 	-> 4 
excite 	-> 1 3 5 
damaging 	-> 1 3 5 
weeks 	-> 4 
statometer 	-> 2 3 
whisper 	-> 1 3 5 
standards 	-> 4 
neighbors 	-> 4 
nondescript 	-> 1 3 5 
popcorn 	-> 1 3 5 
wheat 	-> 4 
du 	-> 4 
wakeful 	-> 1 3 5 
wrap 	-> 1 3 4 5 
pack 	-> 1 3 4 5 
humor 	-> 1 3 4 5 
syracuse 	-> 4 
fence 	-> 1 3 4 5 
airfare 	-> 4 
wet 	-> 1 3 4 5 
well-off 	-> 1 3 5 
collaborative 	-> 4 
syndrome 	-> 4 
rider 	-> 4 
inventorial 	-> 2 3 
plugin 	-> 4 
deaths 	-> 4 
findings 	-> 4 
yen 	-> 4 
daughter 	-> 1 3 4 5 
milan 	-> 4 
stamp 	-> 1 3 4 5 
veterinary 	-> 4 
moment 	-> 4 
miscreant 	-> 1 3 5 
zonked 	-> 1 3 5 
mine 	-> 1 3 4 5 
repair 	-> 1 3 4 5 
worth 	-> 4 
gentle 	-> 1 3 4 5 
futuristic 	-> 1 3 5 
regression 	-> 4 
rats 	-> 4 
presentations 	-> 4 
dishes 	-> 4 
elfin 	-> 1 3 5 
paso 	-> 4 
stretch 	-> 1 3 4 5 
coordinates 	-> 4 
law 	-> 4 
clever 	-> 1 3 5 
regulation 	-> 4 
regret 	-> 1 3 5 
kneel 	-> 1 3 5 
approve 	-> 1 3 4 5 
monkey 	-> 1 3 4 5 
aspects 	-> 4 
learn 	-> 1 3 4 5 
dust 	-> 1 3 4 5 
consumer 	-> 4 
fd 	-> 4 
merely 	-> 4 
ruthless 	-> 1 3 5 
lush 	-> 1 3 5 
floppy 	-> 4 
shadows 	-> 4 
alike 	-> 1 3 4 5 
pop 	-> 1 3 4 5 
sneaky 	-> 1 3 5 
cyprus 	-> 4 
incompetent 	-> 1 3 5 
tonga 	-> 2 3 
brash 	-> 1 3 5 
fountainlet 	-> 2 3 
riddle 	-> 1 3 5 
virgin 	-> 4 
cycling 	-> 4 
bitterroot 	-> 2 3 
pontifex 	-> 2 3 
dislike 	-> 1 3 5 
cope 	-> 4 
feigned 	-> 1 3 5 
wall 	-> 1 3 4 5 
innocent 	-> 1 3 4 5 
colleges 	-> 4 
flag 	-> 1 3 4 5 
trail 	-> 1 3 4 5 
cv 	-> 4 
wriggle 	-> 1 3 5 
statement 	-> 1 3 4 5 
presbyopia 	-> 2 3 
returns 	-> 4 
breath 	-> 1 3 4 5 
pointless 	-> 1 3 5 
truthful 	-> 1 3 5 
measly 	-> 1 3 5 
ghost 	-> 1 3 4 5 
investigators 	-> 4 
shirt 	-> 1 3 4 5 
changelog 	-> 4 
analog 	-> 4 
transportation 	-> 4 
extra-small 	-> 1 3 5 
weekends 	-> 4 
preventing 	-> 4 
retire 	-> 1 3 5 
detective 	-> 4 
babes 	-> 4 
chess 	-> 1 3 4 5 
insect 	-> 1 3 5 
macabre 	-> 1 3 5 
rover 	-> 4 
watched 	-> 4 
barry 	-> 4 
nine 	-> 1 3 4 5 
solo 	-> 4 
tiles 	-> 4 
play 	-> 1 3 4 5 
yell 	-> 1 3 5 
kurt 	-> 4 
kidney 	-> 4 
rr 	-> 4 
networking 	-> 4 
expand 	-> 1 3 4 5 
muscle 	-> 1 3 4 5 
whilst 	-> 4 
eternal 	-> 4 
boys 	-> 4 
waste 	-> 1 3 4 5 
board 	-> 1 3 4 5 
tcp 	-> 4 
persistent 	-> 4 
trinidad 	-> 4 
gleaming 	-> 1 3 5 
minimal 	-> 4 
paddle 	-> 1 3 5 
evasive 	-> 1 3 5 
chronicles 	-> 4 
presartorial 	-> 2 3 
deficit 	-> 4 
burst 	-> 1 3 4 5 
mastercard 	-> 4 
boil 	-> 1 3 5 
colon 	-> 4 
transmitted 	-> 4 
roommates 	-> 4 
creative 	-> 4 
girls 	-> 1 3 4 5 
navigate 	-> 4 
wealth 	-> 1 3 4 5 
phone 	-> 1 3 4 5 
ro 	-> 4 
value 	-> 1 3 4 5 
jumpy 	-> 1 3 5 
usb 	-> 4 
yarl 	-> 2 3 
faculty 	-> 4 
live 	-> 1 3 4 5 
youthful 	-> 1 3 5 
inquisitive 	-> 1 3 5 
sensitive 	-> 4 
gba 	-> 4 
adjoining 	-> 1 3 5 
measurements 	-> 4 
sydney 	-> 4 
pittsburgh 	-> 4 
colleagues 	-> 4 
frame 	-> 1 3 4 5 
shares 	-> 4 
chin 	-> 1 3 5 
verse 	-> 1 3 4 5 
polar 	-> 4 
assessed 	-> 4 
carpenter 	-> 1 3 5 
carry 	-> 1 3 4 5 
encourages 	-> 4 
vcr 	-> 4 
temple 	-> 4 
unexceptionably 	-> 2 3 
good 	-> 1 3 4 5 
med 	-> 4 
immense 	-> 1 3 5 
exemption 	-> 4 
let 	-> 4 
mm 	-> 4 
funny 	-> 1 3 4 5 
coast 	-> 1 3 4 5 
yet 	-> 4 
application 	-> 4 
tonsillectome 	-> 2 3 
shopper 	-> 4 
rate 	-> 1 3 4 5 
peace 	-> 1 3 4 5 
instrument 	-> 1 3 4 5 
finnish 	-> 4 
actual 	-> 4 
racial 	-> 1 3 4 5 
homosystemic 	-> 2 3 
fairies 	-> 1 3 5 
yawn 	-> 1 3 5 
teach 	-> 4 
rings 	-> 1 3 4 5 
mar 	-> 4 
destroy 	-> 1 3 4 5 
paul 	-> 4 
to 	-> 4 
colorado 	-> 4 
abiding 	-> 1 3 5 
rage 	-> 4 
cactus 	-> 1 3 5 
equation 	-> 4 
general 	-> 1 3 4 5 
optics 	-> 4 
heterolysis 	-> 2 3 
industrious 	-> 1 3 5 
clap 	-> 1 3 5 
knives 	-> 4 
potato 	-> 1 3 4 5 
involved 	-> 4 
reached 	-> 4 
raised 	-> 4 
likely 	-> 4 
crayon 	-> 1 3 5 
lauder 	-> 2 3 
mom 	-> 1 3 4 5 
c 	-> 4 
download 	-> 4 
gaze 	-> 1 3 5 
ichthyotomy 	-> 2 3 
week 	-> 1 3 4 5 
jeans 	-> 1 3 4 5 
apologise 	-> 1 3 5 
liabilities 	-> 4 
liquid 	-> 1 3 4 5 
quest 	-> 4 
sudden 	-> 1 3 4 5 
arrival 	-> 4 
backup 	-> 4 
illustration 	-> 4 
coat 	-> 1 3 4 5 
household 	-> 4 
boxing 	-> 4 
byte 	-> 4 
staghorn 	-> 2 3 
flows 	-> 4 
high-pitched 	-> 1 3 5 
alternatively 	-> 4 
tie 	-> 1 3 4 5 
nifty 	-> 1 3 5 
permit 	-> 1 3 4 5 
impose 	-> 4 
risk 	-> 1 3 4 5 
generations 	-> 4 
human 	-> 4 
inbox 	-> 4 
negotiations 	-> 4 
perry 	-> 4 
version 	-> 4 
decorate 	-> 1 3 5 
linux 	-> 4 
realized 	-> 4 
mere 	-> 1 3 4 5 
false 	-> 1 3 4 5 
sterling 	-> 4 
patents 	-> 4 
cobweb 	-> 1 3 5 
pigs 	-> 1 3 5 
reflected 	-> 4 
encouraged 	-> 4 
shallow 	-> 1 3 5 
because 	-> 4 
built 	-> 4 
declarative 	-> 2 3 
dana 	-> 4 
entirely 	-> 4 
full 	-> 1 3 4 5 
survivor 	-> 4 
collar 	-> 1 3 4 5 
whispering 	-> 1 3 5 
state 	-> 4 
buffalo 	-> 4 
jelly 	-> 1 3 5 
recording 	-> 4 
drag 	-> 1 3 4 5 
loose 	-> 1 3 4 5 
lanes 	-> 4 
instructional 	-> 4 
useful 	-> 1 3 4 5 
left 	-> 1 3 4 5 
hum 	-> 1 3 5 
grab 	-> 1 3 4 5 
cyclomania 	-> 2 3 
leonard 	-> 4 
graphic 	-> 4 
diabetes 	-> 4 
window 	-> 1 3 4 5 
acquisitum 	-> 2 3 
safer 	-> 4 
protect 	-> 1 3 4 5 
nbc 	-> 4 
lean 	-> 1 3 4 5 
scarce 	-> 1 3 5 
saw 	-> 1 3 4 5 
sons 	-> 4 
nathan 	-> 4 
berserk 	-> 1 3 5 
toys 	-> 1 3 4 5 
defiant 	-> 1 3 5 
aquatic 	-> 1 3 4 5 
inaxon 	-> 2 3 
harm 	-> 1 3 4 5 
passed 	-> 4 
tall 	-> 1 3 4 5 
rain 	-> 1 3 4 5 
yugoslavia 	-> 4 
reception 	-> 4 
elegant 	-> 1 3 4 5 
bother 	-> 4 
anaglyph 	-> 2 3 
exotic 	-> 1 3 4 5 
quaint 	-> 1 3 5 
underact 	-> 2 3 
thereby 	-> 4 
guaranteed 	-> 4 
km 	-> 4 
inkjet 	-> 4 
committee 	-> 1 3 4 5 
meat 	-> 1 3 4 5 
tent 	-> 1 3 4 5 
food 	-> 1 3 4 5 
pretend 	-> 1 3 5 
person 	-> 1 3 4 5 
therefore 	-> 4 
vb 	-> 4 
throws 	-> 4 
stayed 	-> 4 
bd 	-> 4 
filthy 	-> 1 3 5 
waiver 	-> 4 
initiatives 	-> 4 
slow 	-> 1 3 4 5 
rapidly 	-> 4 
rich 	-> 1 3 4 5 
bit 	-> 1 3 4 5 
preview 	-> 4 
bay 	-> 4 
yield 	-> 4 
fretful 	-> 1 3 5 
cinema 	-> 4 
tense 	-> 1 3 5 
numbers 	-> 4 
mass 	-> 1 3 4 5 
preferences 	-> 4 
stuck 	-> 4 
compare 	-> 1 3 4 5 
newfoundland 	-> 4 
letters 	-> 1 3 4 5 
says 	-> 4 
shareware 	-> 4 
bear 	-> 1 3 4 5 
chew 	-> 1 3 5 
army 	-> 1 3 4 5 
white 	-> 1 3 4 5 
privacy 	-> 4 
vagabond 	-> 1 3 5 
venue 	-> 4 
channel 	-> 1 3 4 5 
rolling 	-> 4 
anne 	-> 4 
whereas 	-> 4 
pie 	-> 1 3 4 5 
ill-fated 	-> 1 3 5 
recondite 	-> 1 3 5 
finland 	-> 4 
keratocentesis 	-> 2 3 
leg 	-> 1 3 4 5 
polished 	-> 4 
loutish 	-> 1 3 5 
intelligence 	-> 4 
annie 	-> 4 
shit 	-> 4 
advise 	-> 1 3 4 5 
echinodermic 	-> 2 3 
influenced 	-> 4 
hang 	-> 1 3 4 5 
playground 	-> 1 3 5 
apathetic 	-> 1 3 5 
salad 	-> 4 
prevent 	-> 1 3 4 5 
chelsea 	-> 4 
meets 	-> 4 
propaedeutical 	-> 2 3 
library 	-> 1 3 4 5 
sync 	-> 4 
duck 	-> 1 3 4 5 
seas 	-> 4 
bureau 	-> 4 
spooky 	-> 1 3 5 
well-made 	-> 1 3 5 
strange 	-> 1 3 4 5 
load 	-> 1 3 4 5 
frightened 	-> 1 3 5 
points 	-> 4 
dm 	-> 4 
ossified 	-> 1 3 5 
choice 	-> 4 
priorities 	-> 4 
atmospheric 	-> 4 
permission 	-> 4 
pot 	-> 1 3 4 5 
laughable 	-> 1 3 5 
amuse 	-> 1 3 5 
seller 	-> 4 
concerns 	-> 4 
bent 	-> 1 3 5 
fibroplastic 	-> 2 3 
very 	-> 4 
payday 	-> 4 
purring 	-> 1 3 5 
blanket 	-> 4 
scrollwise 	-> 2 3 
venues 	-> 4 
lucia 	-> 4 
cattle 	-> 1 3 4 5 
roles 	-> 4 
wistful 	-> 1 3 5 
hard 	-> 1 3 4 5 
norfolk 	-> 4 
delicious 	-> 1 3 4 5 
unexpected 	-> 4 
apparatus 	-> 1 3 4 5 
ts 	-> 4 
scold 	-> 1 3 5 
securities 	-> 4 
montana 	-> 4 
fingering 	-> 4 
puncture 	-> 1 3 5 
tanks 	-> 4 
disapprove 	-> 1 3 5 
fair 	-> 1 3 4 5 
xxx 	-> 4 
prose 	-> 1 3 5 
prostores 	-> 4 
giddy 	-> 1 3 5 
faded 	-> 1 3 5 
prayers 	-> 4 
scale 	-> 1 3 4 5 
bald 	-> 4 
cherry 	-> 1 3 4 5 
reach 	-> 1 3 4 5 
superficial 	-> 1 3 5 
visiting 	-> 4 
half 	-> 1 3 4 5 
sticky 	-> 1 3 4 5 
terminology 	-> 4 
aloof 	-> 1 3 5 
antiques 	-> 4 
safely 	-> 4 
fabulous 	-> 1 3 4 5 
masting 	-> 2 3 
soldiers 	-> 4 
implies 	-> 4 
enchanted 	-> 1 3 5 
villages 	-> 4 
faint 	-> 1 3 5 
monica 	-> 4 
Madelon 	-> 2 3 
turkey 	-> 1 3 4 5 
slope 	-> 1 3 4 5 
chase 	-> 1 3 4 5 
goofy 	-> 1 3 5 
squandermaniapotato 	-> 3 
russian 	-> 4 
there 	-> 4 
possess 	-> 1 3 4 5 
sick 	-> 1 3 4 5 
broadcasting 	-> 4 
pollution 	-> 1 3 4 5 
precursive 	-> 2 3 
historical 	-> 1 3 4 5 
principal 	-> 4 
pondage 	-> 2 3 
icky 	-> 1 3 5 
careers 	-> 4 
liberia 	-> 4 
operator 	-> 4 
property 	-> 1 3 4 5 
interview 	-> 4 
defeated 	-> 1 3 5 
name 	-> 1 3 4 5 
market 	-> 1 3 4 5 
agreed 	-> 4 
songs 	-> 1 3 4 5 
roasted 	-> 1 3 5 
eur 	-> 4 
repairs 	-> 4 
underwear 	-> 1 3 4 5 
asn 	-> 4 
subharmonic 	-> 2 3 
multi 	-> 4 
lie 	-> 1 3 4 5 
labeled 	-> 4 
cuddly 	-> 1 3 5 
anatomicopathologic 	-> 2 3 
politicians 	-> 4 
chrome 	-> 4 
plymouth 	-> 4 
rx 	-> 4 
faceteness 	-> 2 3 
category 	-> 4 
shaky 	-> 1 3 5 
dating 	-> 4 
cape 	-> 4 
rec 	-> 4 
cfr 	-> 4 
brass 	-> 1 3 4 5 
poultry 	-> 4 
sudan 	-> 4 
dusty 	-> 1 3 5 
events 	-> 4 
color 	-> 1 3 4 5 
careful 	-> 1 3 4 5 
buzz 	-> 1 3 4 5 
em 	-> 4 
vest 	-> 1 3 5 
tree 	-> 1 3 4 5 
assumptions 	-> 4 
cathedral 	-> 4 
oranges 	-> 1 3 5 
chalk 	-> 1 3 5 
Delicious 	-> 2 3 
endorsement 	-> 4 
durable 	-> 4 
sea 	-> 1 3 4 5 
bridge 	-> 1 3 4 5 
consider 	-> 1 3 4 5 
small 	-> 1 3 4 5 
nuke 	-> 4 
sponge 	-> 1 3 5 
cooperative 	-> 1 3 4 5 
stimulating 	-> 1 3 5 
servant 	-> 1 3 5 
trousers 	-> 1 3 5 
mainland 	-> 4 
taiwan 	-> 4 
tu 	-> 4 
morning 	-> 1 3 4 5 
share 	-> 1 3 4 5 
planners 	-> 4 
outrageous 	-> 1 3 5 
memory 	-> 1 3 4 5 
oklahoma 	-> 4 
snobbish 	-> 1 3 5 
blue-eyed 	-> 1 3 5 
Dioscorea 	-> 2 3 
